// This file was decompiled using VCSCM.ini published by GTAMods.com on 2019-10-19
DEFINE OBJECTS 205
DEFINE OBJECT (noname)                
DEFINE OBJECT DTN_STADDOORA            // Object number -1
jump @FTBL_7520 

:FTBL_8321
if 
  $1669 == 2 // $ == int 
else_jump @FTBL_8757 
if 
  $1672 == 1 // $ == int 
else_jump @FTBL_8705 

:FTBL_8357
if 
8471:   not actor $1658 within_object $7 rectangle 0.7 0.7 sphere 0 
else_jump @FTBL_8457 
Actor.StorePos($1658, 1@, 2@, 3@)
if 
0037:   1@ >= $1667 // @ >= $ float 
else_jump @FTBL_8439 
0239: actor $1658 run_to $1667 $1668 
jump @FTBL_8905 

:FTBL_8439
0239: actor $1658 run_to $1667 $1668 
jump @FTBL_8905 

:FTBL_8457
if 
  547.0 > $1666 // float > $ 
else_jump @FTBL_8905 
Actor.StorePos($1658, 1@, 2@, 3@)
if 
0037:   1@ >= $1667 // @ >= $ float 
else_jump @FTBL_8598 
0208: 0@ = random_float 40.0 140.0 
02F6: 4@ = sine 0@ // float 
4@ *= -35.0 // @ *= float 
02F7: 5@ = cosine 0@ // float 
5@ *= 35.0 // @ *= float 
0208: 6@ = random_float 15.0 25.0 
Object.Throw($7, 4@, 5@, 6@)
jump @FTBL_8905 

:FTBL_8598
if 
  2@ >= 656.316 // @ >= float 
else_jump @FTBL_8636 
0@ = 160.0 // @ = float 
jump @FTBL_8646 

:FTBL_8636
0@ = 20.0 // @ = float 

:FTBL_8646
02F6: 4@ = sine 0@ // float 
4@ *= -7.0 // @ *= float 
02F7: 5@ = cosine 0@ // float 
5@ *= 7.0 // @ *= float 
Object.Throw($7, 4@, 5@, 1.5)
jump @FTBL_8905 

:FTBL_8705
Actor.StorePos($1647, 1@, 2@, 3@)
1@ += 2.0 // @ += float 
2@ += -0.5 // @ += float 
0239: actor $1658 run_to 1@ 2@ 
jump @FTBL_8905 

:FTBL_8757
Actor.StorePos($1658, 1@, 2@, 3@)
0509: $1564 = distance_between_point $1667 $1668 and_point 1@ 2@ 
if 
0024:   $1564 > $1673 // $ > $ float 
else_jump @FTBL_8883 
if 
  1097.39 > $1667 // float > $ 
else_jump @FTBL_8845 
1@ = 1097.39 // @ = float 
jump @FTBL_8863 

:FTBL_8845
0089: 1@ = $1667 // @ = $ float 
1@ += 30.0 // @ += float 

:FTBL_8863
0239: actor $1658 run_to 1@ 681.0 
jump @FTBL_8905 

:FTBL_8883
0086: $1673 = $1564 // $ = $ float 
$1672 = 0 // $ = int 
jump @FTBL_8357 

:FTBL_8905
if 
  $1669 == 2 // $ == int 
else_jump @FTBL_9341 
if 
  $1672 == 2 // $ == int 
else_jump @FTBL_9289 

:FTBL_8941
if 
8471:   not actor $1657 within_object $7 rectangle 0.7 0.7 sphere 0 
else_jump @FTBL_9041 
Actor.StorePos($1657, 1@, 2@, 3@)
if 
0037:   1@ >= $1667 // @ >= $ float 
else_jump @FTBL_9023 
0239: actor $1657 run_to $1667 $1668 
jump @FTBL_9489 

:FTBL_9023
0239: actor $1657 run_to $1667 $1668 
jump @FTBL_9489 

:FTBL_9041
if 
  547.0 > $1666 // float > $ 
else_jump @FTBL_9489 
Actor.StorePos($1657, 1@, 2@, 3@)
if 
0037:   1@ >= $1667 // @ >= $ float 
else_jump @FTBL_9182 
0208: 0@ = random_float 40.0 140.0 
02F6: 4@ = sine 0@ // float 
4@ *= -35.0 // @ *= float 
02F7: 5@ = cosine 0@ // float 
5@ *= 35.0 // @ *= float 
0208: 6@ = random_float 15.0 25.0 
Object.Throw($7, 4@, 5@, 6@)
jump @FTBL_9489 

:FTBL_9182
if 
  2@ >= 656.316 // @ >= float 
else_jump @FTBL_9220 
0@ = 160.0 // @ = float 
jump @FTBL_9230 

:FTBL_9220
0@ = 20.0 // @ = float 

:FTBL_9230
02F6: 4@ = sine 0@ // float 
4@ *= -7.0 // @ *= float 
02F7: 5@ = cosine 0@ // float 
5@ *= 7.0 // @ *= float 
Object.Throw($7, 4@, 5@, 1.5)
jump @FTBL_9489 

:FTBL_9289
Actor.StorePos($1648, 1@, 2@, 3@)
1@ += 2.0 // @ += float 
2@ += -0.5 // @ += float 
0239: actor $1657 run_to 1@ 2@ 
jump @FTBL_9489 

:FTBL_9341
Actor.StorePos($1657, 1@, 2@, 3@)
0509: $1564 = distance_between_point $1667 $1668 and_point 1@ 2@ 
if 
0024:   $1564 > $1673 // $ > $ float 
else_jump @FTBL_9467 
if 
  1097.39 > $1667 // float > $ 
else_jump @FTBL_9429 
1@ = 1097.39 // @ = float 
jump @FTBL_9447 

:FTBL_9429
0089: 1@ = $1667 // @ = $ float 
1@ += 30.0 // @ += float 

:FTBL_9447
0239: actor $1657 run_to 1@ 631.0 
jump @FTBL_9489 

:FTBL_9467
0086: $1673 = $1564 // $ = $ float 
$1672 = 0 // $ = int 
jump @FTBL_8941 

:FTBL_9489
if 
  $1669 == 2 // $ == int 
else_jump @FTBL_9956 
if 
  $1672 == 3 // $ == int 
else_jump @FTBL_9873 

:FTBL_9525
if 
8471:   not actor $1656 within_object $7 rectangle 0.7 0.7 sphere 0 
else_jump @FTBL_9625 
Actor.StorePos($1656, 1@, 2@, 3@)
if 
0037:   1@ >= $1667 // @ >= $ float 
else_jump @FTBL_9607 
0239: actor $1656 run_to $1667 $1668 
jump @FTBL_10111 

:FTBL_9607
0239: actor $1656 run_to $1667 $1668 
jump @FTBL_10111 

:FTBL_9625
if 
  547.0 > $1666 // float > $ 
else_jump @FTBL_10111 
Actor.StorePos($1656, 1@, 2@, 3@)
if 
0037:   1@ >= $1667 // @ >= $ float 
else_jump @FTBL_9766 
0208: 0@ = random_float 40.0 140.0 
02F6: 4@ = sine 0@ // float 
4@ *= -35.0 // @ *= float 
02F7: 5@ = cosine 0@ // float 
5@ *= 35.0 // @ *= float 
0208: 6@ = random_float 15.0 25.0 
Object.Throw($7, 4@, 5@, 6@)
jump @FTBL_10111 

:FTBL_9766
if 
  2@ >= 656.316 // @ >= float 
else_jump @FTBL_9804 
0@ = 160.0 // @ = float 
jump @FTBL_9814 

:FTBL_9804
0@ = 20.0 // @ = float 

:FTBL_9814
02F6: 4@ = sine 0@ // float 
4@ *= -7.0 // @ *= float 
02F7: 5@ = cosine 0@ // float 
5@ *= 7.0 // @ *= float 
Object.Throw($7, 4@, 5@, 1.5)
jump @FTBL_10111 

:FTBL_9873
Actor.StorePos($PLAYER_ACTOR, 1@, 2@, 3@)
1@ += 2.0 // @ += float 
if 
  1@ >= 1082.39 // @ >= float 
else_jump @FTBL_9936 
0239: actor $1656 run_to 1@ 2@ 
jump @FTBL_10111 

:FTBL_9936
0239: actor $1656 run_to 1083.39 2@ 
jump @FTBL_10111 

:FTBL_9956
Actor.StorePos($1656, 1@, 2@, 3@)
0509: $1564 = distance_between_point $1667 $1668 and_point 1@ 2@ 
if 
0024:   $1564 > $1673 // $ > $ float 
else_jump @FTBL_10089 
Actor.StorePos($PLAYER_ACTOR, 1@, 2@, 3@)
1@ += 2.0 // @ += float 
if 
  1@ >= 1082.39 // @ >= float 
else_jump @FTBL_10069 
0239: actor $1656 run_to 1@ 2@ 
jump @FTBL_10111 

:FTBL_10069
0239: actor $1656 run_to 1083.39 2@ 
jump @FTBL_10111 

:FTBL_10089
0086: $1673 = $1564 // $ = $ float 
$1672 = 0 // $ = int 
jump @FTBL_9525 

:FTBL_10111
if 
  $1669 == 1 // $ == int 
else_jump @FTBL_10810 
if 
  $1672 == 1 // $ == int 
else_jump @FTBL_10729 

:FTBL_10147
if 
8471:   not actor $1653 within_object $7 rectangle 0.7 0.7 sphere 0 
else_jump @FTBL_10196 
0239: actor $1653 run_to $1667 $1668 
jump @FTBL_10934 

:FTBL_10196
if 
  547.0 > $1666 // float > $ 
else_jump @FTBL_10934 
Actor.StorePos($1653, 1@, 2@, 3@)
if 
0037:   1@ >= $1667 // @ >= $ float 
else_jump @FTBL_10622 
if 
00A3:   actor $1653 0 1040.39 642.316 1065.39 670.316 
else_jump @FTBL_10309 
10@ = 1 // @ = int 
FTBL_12750() 
jump @FTBL_10934 

:FTBL_10309
if 
  2.0 > $1671 // float > $ 
else_jump @FTBL_10411 
$1674 = 10.0 // $ = float 

:FTBL_10340
0209: 10@ = random_int_in_ranges 0 1 
if 
  10@ == 0 // @ == int 
else_jump @FTBL_10389 
0084: $1675 = $1654 // $ = $ int 
FTBL_12910() 
jump @FTBL_10934 

:FTBL_10389
0084: $1675 = $1655 // $ = $ int 
FTBL_12910() 
jump @FTBL_10934 

:FTBL_10411
if 
  1049.0 > $1667 // float > $ 
else_jump @FTBL_10449 
$1674 = 8.0 // $ = float 
jump @FTBL_10340 

:FTBL_10449
Actor.StorePos($1653, 1@, 2@, 3@)
1@ += -3.0 // @ += float 
if and
80ED:   not actor $1651 0 1@ 2@ radius 3.0 2.0 
80ED:   not actor $1650 0 1@ 2@ radius 3.0 2.0 
80ED:   not actor $1649 0 1@ 2@ radius 3.0 2.0 
else_jump @FTBL_10340 
0@ = 90.0 // @ = float 
02F6: 4@ = sine 0@ // float 
4@ *= -7.0 // @ *= float 
02F7: 5@ = cosine 0@ // float 
5@ *= 7.0 // @ *= float 
Object.Throw($7, 4@, 5@, 1.0)
jump @FTBL_10934 

:FTBL_10622
if 
  2@ >= 656.316 // @ >= float 
else_jump @FTBL_10660 
0@ = 160.0 // @ = float 
jump @FTBL_10670 

:FTBL_10660
0@ = 20.0 // @ = float 

:FTBL_10670
02F6: 4@ = sine 0@ // float 
4@ *= -7.0 // @ *= float 
02F7: 5@ = cosine 0@ // float 
5@ *= 7.0 // @ *= float 
Object.Throw($7, 4@, 5@, 1.5)
jump @FTBL_10934 

:FTBL_10729
if 
  1078.39 > $1667 // float > $ 
else_jump @FTBL_10772 
0239: actor $1653 run_to 1058.522 668.904 
jump @FTBL_10934 

:FTBL_10772
0089: 1@ = $1667 // @ = $ float 
1@ += -20.0 // @ += float 
0239: actor $1653 run_to 1@ 676.904 
jump @FTBL_10934 

:FTBL_10810
Actor.StorePos($1653, 1@, 2@, 3@)
0509: $1564 = distance_between_point $1667 $1668 and_point 1@ 2@ 
if 
0024:   $1564 > $1673 // $ > $ float 
else_jump @FTBL_10912 
Actor.StorePos($1651, 1@, 2@, 3@)
1@ += 2.0 // @ += float 
2@ += -1.0 // @ += float 
0239: actor $1653 run_to 1@ 2@ 
jump @FTBL_10934 

:FTBL_10912
0086: $1673 = $1564 // $ = $ float 
$1672 = 0 // $ = int 
jump @FTBL_10147 

:FTBL_10934
if 
  $1669 == 1 // $ == int 
else_jump @FTBL_11633 
if 
  $1672 == 2 // $ == int 
else_jump @FTBL_11552 

:FTBL_10970
if 
8471:   not actor $1654 within_object $7 rectangle 0.7 0.7 sphere 0 
else_jump @FTBL_11019 
0239: actor $1654 run_to $1667 $1668 
jump @FTBL_11757 

:FTBL_11019
if 
  547.0 > $1666 // float > $ 
else_jump @FTBL_11757 
Actor.StorePos($1654, 1@, 2@, 3@)
if 
0037:   1@ >= $1667 // @ >= $ float 
else_jump @FTBL_11445 
if 
00A3:   actor $1654 0 1040.39 642.316 1065.39 670.316 
else_jump @FTBL_11132 
10@ = 1 // @ = int 
FTBL_12750() 
jump @FTBL_11757 

:FTBL_11132
if 
  2.0 > $1671 // float > $ 
else_jump @FTBL_11234 
$1674 = 10.0 // $ = float 

:FTBL_11163
0209: 10@ = random_int_in_ranges 0 1 
if 
  10@ == 0 // @ == int 
else_jump @FTBL_11212 
0084: $1675 = $1653 // $ = $ int 
FTBL_12910() 
jump @FTBL_11757 

:FTBL_11212
0084: $1675 = $1655 // $ = $ int 
FTBL_12910() 
jump @FTBL_11757 

:FTBL_11234
if 
  1049.0 > $1667 // float > $ 
else_jump @FTBL_11272 
$1674 = 8.0 // $ = float 
jump @FTBL_11163 

:FTBL_11272
Actor.StorePos($1654, 1@, 2@, 3@)
1@ += -3.0 // @ += float 
if and
80ED:   not actor $1651 0 1@ 2@ radius 3.0 2.0 
80ED:   not actor $1650 0 1@ 2@ radius 3.0 2.0 
80ED:   not actor $1649 0 1@ 2@ radius 3.0 2.0 
else_jump @FTBL_11163 
0@ = 90.0 // @ = float 
02F6: 4@ = sine 0@ // float 
4@ *= -7.0 // @ *= float 
02F7: 5@ = cosine 0@ // float 
5@ *= 7.0 // @ *= float 
Object.Throw($7, 4@, 5@, 1.0)
jump @FTBL_11757 

:FTBL_11445
if 
  2@ >= 656.316 // @ >= float 
else_jump @FTBL_11483 
0@ = 160.0 // @ = float 
jump @FTBL_11493 

:FTBL_11483
0@ = 20.0 // @ = float 

:FTBL_11493
02F6: 4@ = sine 0@ // float 
4@ *= -7.0 // @ *= float 
02F7: 5@ = cosine 0@ // float 
5@ *= 7.0 // @ *= float 
Object.Throw($7, 4@, 5@, 1.5)
jump @FTBL_11757 

:FTBL_11552
if 
  1078.39 > $1667 // float > $ 
else_jump @FTBL_11595 
0239: actor $1654 run_to 1058.522 656.904 
jump @FTBL_11757 

:FTBL_11595
0089: 1@ = $1667 // @ = $ float 
1@ += -18.0 // @ += float 
0239: actor $1654 run_to 1@ 656.904 
jump @FTBL_11757 

:FTBL_11633
Actor.StorePos($1654, 1@, 2@, 3@)
0509: $1564 = distance_between_point $1667 $1668 and_point 1@ 2@ 
if 
0024:   $1564 > $1673 // $ > $ float 
else_jump @FTBL_11735 
Actor.StorePos($1650, 1@, 2@, 3@)
1@ += 2.0 // @ += float 
2@ += 0.5 // @ += float 
0239: actor $1654 run_to 1@ 2@ 
jump @FTBL_11757 

:FTBL_11735
0086: $1673 = $1564 // $ = $ float 
$1672 = 0 // $ = int 
jump @FTBL_10970 

:FTBL_11757
if 
  $1669 == 1 // $ == int 
else_jump @FTBL_12456 
if 
  $1672 == 3 // $ == int 
else_jump @FTBL_12375 

:FTBL_11793
if 
8471:   not actor $1655 within_object $7 rectangle 0.7 0.7 sphere 0 
else_jump @FTBL_11842 
0239: actor $1655 run_to $1667 $1668 
jump @FTBL_12580 

:FTBL_11842
if 
  547.0 > $1666 // float > $ 
else_jump @FTBL_12580 
Actor.StorePos($1655, 1@, 2@, 3@)
if 
0037:   1@ >= $1667 // @ >= $ float 
else_jump @FTBL_12268 
if 
00A3:   actor $1655 0 1040.39 642.316 1065.39 670.316 
else_jump @FTBL_11955 
10@ = 1 // @ = int 
FTBL_12750() 
jump @FTBL_12580 

:FTBL_11955
if 
  2.0 > $1671 // float > $ 
else_jump @FTBL_12057 
$1674 = 10.0 // $ = float 

:FTBL_11986
0209: 10@ = random_int_in_ranges 0 1 
if 
  10@ == 0 // @ == int 
else_jump @FTBL_12035 
0084: $1675 = $1653 // $ = $ int 
FTBL_12910() 
jump @FTBL_12580 

:FTBL_12035
0084: $1675 = $1654 // $ = $ int 
FTBL_12910() 
jump @FTBL_12580 

:FTBL_12057
if 
  1049.0 > $1667 // float > $ 
else_jump @FTBL_12095 
$1674 = 8.0 // $ = float 
jump @FTBL_11986 

:FTBL_12095
Actor.StorePos($1655, 1@, 2@, 3@)
1@ += -3.0 // @ += float 
if and
80ED:   not actor $1651 0 1@ 2@ radius 3.0 2.0 
80ED:   not actor $1650 0 1@ 2@ radius 3.0 2.0 
80ED:   not actor $1649 0 1@ 2@ radius 3.0 2.0 
else_jump @FTBL_11986 
0@ = 90.0 // @ = float 
02F6: 4@ = sine 0@ // float 
4@ *= -7.0 // @ *= float 
02F7: 5@ = cosine 0@ // float 
5@ *= 7.0 // @ *= float 
Object.Throw($7, 4@, 5@, 1.0)
jump @FTBL_12580 

:FTBL_12268
if 
  2@ >= 656.316 // @ >= float 
else_jump @FTBL_12306 
0@ = 160.0 // @ = float 
jump @FTBL_12316 

:FTBL_12306
0@ = 20.0 // @ = float 

:FTBL_12316
02F6: 4@ = sine 0@ // float 
4@ *= -7.0 // @ *= float 
02F7: 5@ = cosine 0@ // float 
5@ *= 7.0 // @ *= float 
Object.Throw($7, 4@, 5@, 1.5)
jump @FTBL_12580 

:FTBL_12375
if 
  1078.39 > $1667 // float > $ 
else_jump @FTBL_12418 
0239: actor $1655 run_to 1058.522 644.904 
jump @FTBL_12580 

:FTBL_12418
0089: 1@ = $1667 // @ = $ float 
1@ += -18.0 // @ += float 
0239: actor $1655 run_to 1@ 642.904 
jump @FTBL_12580 

:FTBL_12456
Actor.StorePos($1655, 1@, 2@, 3@)
0509: $1564 = distance_between_point $1667 $1668 and_point 1@ 2@ 
if 
0024:   $1564 > $1673 // $ > $ float 
else_jump @FTBL_12558 
Actor.StorePos($1649, 1@, 2@, 3@)
1@ += 2.0 // @ += float 
2@ += 2.5 // @ += float 
0239: actor $1655 run_to 1@ 2@ 
jump @FTBL_12580 

:FTBL_12558
0086: $1673 = $1564 // $ = $ float 
$1672 = 0 // $ = int 
jump @FTBL_11793 

:FTBL_12580
jump @FTBL_1027 
0208: 5@ = random_float -15.0 15.0 
0208: 6@ = random_float -15.0 15.0 
04C4: create_coordinate 1@ 2@ 3@ from_actor 0@ offset 5@ 6@ 0.0 
0509: 5@ = distance_between_point 1@ 2@ and_point $1667 $1668 
0065: 1@ -= $1667 // @ -= $ float 
0065: 2@ -= $1668 // @ -= $ float 
if 
  5@ >= 40.0 // @ >= float 
else_jump @FTBL_12732 
0073: 1@ /= 5@ // @ /= @ float 
0073: 2@ /= 5@ // @ /= @ float 
1@ *= 40.0 // @ *= float 
2@ *= 40.0 // @ *= float 

:FTBL_12732
Object.Throw($7, 1@, 2@, 4@)
return 
return 

:FTBL_12750
0208: 2@ = random_float 648.316 664.316 
if 
  10@ == 0 // @ == int 
else_jump @FTBL_12800 
1@ = 1180.39 // @ = float 
jump @FTBL_12810 

:FTBL_12800
1@ = 1034.39 // @ = float 

:FTBL_12810
0509: $1564 = distance_between_point $1667 $1668 and_point 1@ 2@ 
0208: 3@ = random_float 5.0 15.0 
0065: 1@ -= $1667 // @ -= $ float 
0075: 1@ /= $1564 // @ /= $ float 
1@ *= 60.0 // @ *= float 
0065: 2@ -= $1668 // @ -= $ float 
0075: 2@ /= $1564 // @ /= $ float 
2@ *= 60.0 // @ *= float 
Object.Throw($7, 1@, 2@, 3@)
return 

:FTBL_12910
0208: 4@ = random_float -2.0 2.0 
0208: 5@ = random_float -2.0 2.0 
04C4: create_coordinate $924 $926 $928 from_actor $1675 offset 4@ 5@ 0.0 
0509: $1564 = distance_between_point $1667 $1668 and_point $924 $926 
0061: $924 -= $1667 // $ -= $ float 
0071: $924 /= $1564 // $ /= $ float 
0061: $926 -= $1668 // $ -= $ float 
0071: $926 /= $1564 // $ /= $ float 
if 
  $1564 > 45.0 // $ > float 
else_jump @FTBL_13045 
$1564 = 45.0 // $ = float 

:FTBL_13045
$1564 *= 1.2 // $ *= float 
0069: $924 *= $1564 // $ *= $ float 
0069: $926 *= $1564 // $ *= $ float 
Object.Throw($7, $924, $926, $1674)
return 

:FTBL_13087
if 
001C:   $1660 > $1661 // $ > $ int 
else_jump @FTBL_13134 
01E3: text_1number_styled 'ASM1_B' number 10000 time 5000 style 1  // you win! $~1~
Player.Money($PLAYER_CHAR) += 10000
return 

:FTBL_13134
if 
003A:   $1660 == $1661 // $ == $ int 
else_jump @FTBL_13170 
00BA: text_styled 'ASM3_1' 4000 ms 1  // tie up
return 

:FTBL_13170
00BA: text_styled 'M_FAIL' 4000 ms 1  // MISSION FAILED!
return 

:FTBL_13187
00BA: text_styled 'ASM1_C' 4000 ms 1  // disqualification for doping
return 

:FTBL_13204
Player.CanMove($PLAYER_CHAR) = False
Player.ClearWantedLevel($PLAYER_CHAR)
04E4: request_collision_at -1108.307 1330.962 
03E6: remove_text_box 
0151: remove_status_text $1660 
0151: remove_status_text $1661 
0151: remove_status_text $1663 
014F: stop_timer $1662 
fade 0 50 
select_interior 0 
04FA: clear_extra_colors_with_fade 0 
03AD: set_rubbish 1 
018C: play_sound 6 at 0.0 0.0 0.0 
0055: put_player $PLAYER_CHAR at -1105.307 1330.962 19.135 
0171: set_player $PLAYER_CHAR z_angle_to 270.0 
Camera.Restore_WithJumpCut
wait 250 
01EB: set_traffic_density_multiplier_to 1.0 
fade 1 500 

:FTBL_13338
if 
fading 
else_jump @FTBL_13362 
wait 0 
jump @FTBL_13338 

:FTBL_13362
Player.CanMove($PLAYER_CHAR) = True
Player.InfiniteRun($PLAYER_CHAR) = True
$ONMISSION = 0 // $ = int 
create_thread @FOOTIN 
mission_cleanup 
return 

//-------------Mission 6---------------
// Originally: Riot

:DTTT
DTTT_36() 
if 
wasted_or_busted 
else_jump @DTTT_27 
DTTT_2489() 

:DTTT_27
DTTT_2516() 
end_thread 

:DTTT_36
thread 'DTTT' 
$ONMISSION = 1 // $ = int 
if 
  3 > $213 // int > $ 
else_jump @DTTT_2261 
fade 0 250 
Player.CanMove($PLAYER_CHAR) = False
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 1 
02A3: enable_widescreen 1 
023C: load_special_actor 10 'IGJEZZ' 
Model.Load(#SANCHEZ)

:DTTT_113
if or
823D:   not special_actor 10 loaded 
   not Model.Available(#SANCHEZ)
else_jump @DTTT_144 
wait 0 
jump @DTTT_113 

:DTTT_144
0395: clear_area 1 at 1042.043 877.165 40.0 range 100.0 
0055: put_player $PLAYER_CHAR at 1085.103 942.022 17.306 
0171: set_player $PLAYER_CHAR z_angle_to 90.0 
0@ = Car.Create(#SANCHEZ, 1077.832, 1009.421, 18.074)
Car.Angle(0@) = 180.0
0129: 10@ = create_actor 4 #SPECIAL10 in_car 0@ driverseat 
wait 250 
Model.Destroy(#SANCHEZ)
0296: unload_special_actor 10 
Car.SetMaxSpeed(0@, 20.0)
04E0: car 0@ abandon_path_radius 255 
Car.DriveTo(0@, 1082.103, 945.022, 17.306)
Camera.SetPosition(1082.103, 938.022, 17.906, 0.0, 0.0, 0.0)
Camera.OnVehicle(0@, 15, 2)
SAVEA_315() 

:DTTT_343
wait 0 
if 
01AF:   car 0@ 0 1082.103 942.022 17.306 radius 4.5 4.5 3.0 
else_jump @DTTT_343 
022D: set_actor 10@ to_look_at_player $PLAYER_CHAR 
Camera.SetPosition(1090.103, 938.022, 19.306, 0.0, 0.0, 0.0)
0157: camera_on_player $PLAYER_CHAR mode 15 switchstyle 2 
00BC: text_highpriority 'ASS1_10' time 60000 1  // show the best time. i go with you
$880 = 22000 // $ = int 
$879 = 25000 // $ = int 
O4X4_1_229() 
03D5: remove_text 'ASS1_10'  // show the best time. i go with you
01D3: actor 10@ leave_car 0@ 
wait 1000 
Player.CanMove($PLAYER_CHAR) = True
03BF: set_player $PLAYER_CHAR ignored_by_everyone_to 0 
02A3: enable_widescreen 0 
Camera.Restore_WithJumpCut

:DTTT_527
wait 0 
if 
   Player.Defined($PLAYER_CHAR)
else_jump @DTTT_527 
if 
   not Actor.Dead(10@)
else_jump @DTTT_2489 
if 
00DC:   player $PLAYER_CHAR in_car 0@ 
else_jump @DTTT_527 
Player.CanMove($PLAYER_CHAR) = False
01DF: tie_actor 10@ to_player $PLAYER_CHAR 
wait 3000 
fade 0 0 
wait 250 
SAVEA_315() 
Player.CanMove($PLAYER_CHAR) = True

:DTTT_627
$1676 = 1 // $ = int 
$1677 = 1 // $ = int 
DTTT_937() 
018A: 8@ = create_checkpoint_at 5@ 6@ 7@ 
0084: $1678 = $214 // $ = $ int 
03C3: set_timer_with_text_to $1678 type 1 text 'RACES'  // TIME:

:DTTT_685
wait 0 
if 
  $1678 > 0 // $ > int 
else_jump @DTTT_2455 
if 
  3 > $213 // int > $ 
else_jump @DTTT_760 
if 
   not Actor.Dead(10@)
else_jump @DTTT_2489 
if 
   Actor.InCar(10@, 0@)
else_jump @DTTT_685 

:DTTT_760
024F: create_corona_with_radius 3.5 type 6 lensflares 0 with_color 12 50 60 at 5@ 6@ 7@ 
if 
00F7:   player $PLAYER_CHAR sphere 0 near_point_in_car 5@ 6@ 7@ radius 4.0 4.0 4.0 
else_jump @DTTT_930 
Marker.Disable(8@)
$1676 += 1 // $ += int 
if 
  $1676 > 17 // $ > int 
else_jump @DTTT_890 
if 
  3 > $1677 // int > $ 
else_jump @DTTT_1769 
$1677 += 1 // $ += int 
$1676 = 1 // $ = int 

:DTTT_890
DTTT_937() 
018A: 8@ = create_checkpoint_at 5@ 6@ 7@ 
018C: play_sound 1 at 0.0 0.0 0.0 

:DTTT_930
jump @DTTT_685 

:DTTT_937
if 
  $1676 == 1 // $ == int 
else_jump @DTTT_987 
5@ = 1082.56 // @ = float 
6@ = 915.9786 // @ = float 
7@ = 16.73582 // @ = float 
return 

:DTTT_987
if 
  $1676 == 2 // $ == int 
else_jump @DTTT_1037 
5@ = 1093.204 // @ = float 
6@ = 815.9632 // @ = float 
7@ = 19.69452 // @ = float 
return 

:DTTT_1037
if 
  $1676 == 3 // $ == int 
else_jump @DTTT_1087 
5@ = 1038.73 // @ = float 
6@ = 752.7816 // @ = float 
7@ = 22.21885 // @ = float 
return 

:DTTT_1087
if 
  $1676 == 4 // $ == int 
else_jump @DTTT_1137 
5@ = 1001.846 // @ = float 
6@ = 785.677 // @ = float 
7@ = 20.5314 // @ = float 
return 

:DTTT_1137
if 
  $1676 == 5 // $ == int 
else_jump @DTTT_1187 
5@ = 1001.465 // @ = float 
6@ = 857.9032 // @ = float 
7@ = 22.33906 // @ = float 
return 

:DTTT_1187
if 
  $1676 == 6 // $ == int 
else_jump @DTTT_1237 
5@ = 1047.481 // @ = float 
6@ = 859.8553 // @ = float 
7@ = 19.00783 // @ = float 
return 

:DTTT_1237
if 
  $1676 == 7 // $ == int 
else_jump @DTTT_1287 
5@ = 1041.546 // @ = float 
6@ = 782.1251 // @ = float 
7@ = 24.65585 // @ = float 
return 

:DTTT_1287
if 
  $1676 == 8 // $ == int 
else_jump @DTTT_1337 
5@ = 1058.167 // @ = float 
6@ = 895.6452 // @ = float 
7@ = 20.02733 // @ = float 
return 

:DTTT_1337
if 
  $1676 == 9 // $ == int 
else_jump @DTTT_1387 
5@ = 1012.495 // @ = float 
6@ = 908.5698 // @ = float 
7@ = 19.46485 // @ = float 
return 

:DTTT_1387
if 
  $1676 == 10 // $ == int 
else_jump @DTTT_1437 
5@ = 1003.575 // @ = float 
6@ = 999.5369 // @ = float 
7@ = 19.19371 // @ = float 
return 

:DTTT_1437
if 
  $1676 == 11 // $ == int 
else_jump @DTTT_1487 
5@ = 1037.097 // @ = float 
6@ = 958.2435 // @ = float 
7@ = 19.3892 // @ = float 
return 

:DTTT_1487
if 
  $1676 == 12 // $ == int 
else_jump @DTTT_1537 
5@ = 1040.133 // @ = float 
6@ = 912.8861 // @ = float 
7@ = 26.80965 // @ = float 
return 

:DTTT_1537
if 
  $1676 == 13 // $ == int 
else_jump @DTTT_1587 
5@ = 1054.18 // @ = float 
6@ = 1008.235 // @ = float 
7@ = 19.4593 // @ = float 
return 

:DTTT_1587
if 
  $1676 == 14 // $ == int 
else_jump @DTTT_1637 
5@ = 1000.622 // @ = float 
6@ = 1040.209 // @ = float 
7@ = 19.09332 // @ = float 
return 

:DTTT_1637
if 
  $1676 == 15 // $ == int 
else_jump @DTTT_1687 
5@ = 1083.691 // @ = float 
6@ = 1042.28 // @ = float 
7@ = 26.40145 // @ = float 
return 

:DTTT_1687
if 
  $1676 == 16 // $ == int 
else_jump @DTTT_1737 
5@ = 1075.221 // @ = float 
6@ = 997.8101 // @ = float 
7@ = 19.28425 // @ = float 
return 

:DTTT_1737
5@ = 1088.959 // @ = float 
6@ = 958.1208 // @ = float 
7@ = 18.91847 // @ = float 
return 

:DTTT_1769
014F: stop_timer $1678 
